ano;musica;artista
1977;Amigo;Roberto Carlos
1977;Sonhos;Peninha
1977;You Light Up My Life;Debbie Boone
1977;Flor de Lis;Djavan
1977;I Just Want To Be Your Everything;Andy Gibb
1977;Best Of My Love;Emotions
1977;When I Need You;Leo Sayer
1977;Menina dos Cabelos Longos;Agepê
1977;Arrombou a Festa;Rita Lee
1977;Romaria;Elis Regina
1977;Maluco Beleza;Raul Seixas
1977;Im Your Boogie Man;KC & The Sunshine Band
1977;Tonights The Night (Its Gonna Be Alright);Rod Stewart
1977;Hotel California;Eagles
1977;Somos Todos Iguais Nesta Noite;Ivan Lins
1977;Marcas do Que Se Foi;Márcio Lott
1977;Falando Sério;Roberto Carlos
1977;Star Wars/Cantina Band;Meco
1977;You And Me;Alice Cooper
1977;Zodiacs;Roberta Flack
1977;Isnt She Lovely;Stevie Wonder
1977;Nobody Does It Better;Carly Simon
1977;Coleção;Cassiano
1977;Sorte Tem Quem Acredita Nela;Fernando Mendes
1977;Jura Secreta;Simone
1977;You Make Me Feel Like Dancing;Leo Sayer 
1977;My Dear;Manchester
1977;Love Theme From "A Star Is Born" (Evergreen);Barbra Streisand
1977;Easy;Commodores
1977;Sir Duke;Stevie Wonder
1977;Livin Thing;Electric Light Orchestra
1977;Gonna Fly Now (Theme From "Rocky");Bill Conti
1977;I Never Cry;Alice Cooper
1977;Keep It Comin Love;KC & The Sunshine Band
1977;O Dia Em Que a Terra Parou;Raul Seixas
1977;Desencontro de Primavera;Hermes de Aquino
1977;Dancing Queen;Abba
1977;Começaria Tudo Outra Vez;Simone
1977;Perdido na Noite;Agnaldo Timóteo
1977;Saco de Feijão;Beth Carvalho
1977;Baby I Love Your Way;Peter Frampton
1977;Pombo Correio;Moraes Moreira
1977;Tranquei a Vida;Ronnie Von
1977;Dont Cry For Me Argentina;Julie Covington
1977;You Dont Have To Be A Star;Marilyn McCoo & Billy Davis, Jr.
1977;Cavalgada;Roberto Carlos
1977;Tigresa;Gal Costa
1977;Boogie Nights;Heatwave
1977;Morte de Um Poeta;Alcione
1977;Car Wash;Rose Royce
1977;Dance And Shake Your Tambourine;Universal Robot Band
1977;Eu Preciso Te Esquecer;Cláudia Telles
1977;Lost Without Your Love;Bread
1977;Fim de Tarde;Cláudia Telles
1977;I Love You;Donna Summer
1977;Pra Que Vou Recordar O Que Chorei;Carlos Dafé
1977;Im Lost;Barry Mann
1977;Lets Be Young Tonight;Jermaine Jackson
1977;Dont Stop;Fleetwood Mac
1977;Swayin To The Music;Johnny Rivers
1977;Love So Right;Bee Gees
1977;Ma Baker;Boney M
1977;Sonhos de Um Palhaço;Antonio Marcos
1977;Maria Fumaça;Banda Black Rio
1977;Cest La Vie;Emerson, Lake & Palmer
1977;Nêga;Emílio Santiago
1977;Pensando Nela;Dom Beto
1977;So Sad The Songs;Gladys Knight & The Pips
1977;Dom de Iludir;Maria Creuza
1977;Sorrow;Michael Sullivan
1977;Thats The Trouble;Grace Jones
1977;Filho Único;Erasmo Carlos
1977;Se Te Agarro Com Outro Te Mato;Sidney Magal
1977;Um Caso Meu;Rosemary
1977;Senhorita, Senhorita;Wando
1977;Vai Levando;Miúcha & Tom Jobim
1977;Um Jeito Estúpido de Te Amar;Maria Bethânia
1977;Loco-Motivas;Rita Lee
1977;Barra Pesada;Dicró
1977;Conversation;Morris Albert
1977;Bijuterias;João Bosco
1977;Velho Demais;Placa Luminosa
1977;Yes Sir, I Can Boogie;Baccara
1977;You Are My Love;Liverpool Express
1977;Young Hearts Run Free;Candi Staton
1977;Lumiar;Beto Guedes
1977;Piu;Ornella Vanoni
1977;Flor Amorosa;Maria Martha
1977;Cálix Bento;Milton Nascimento
1977;I Remember Yesterday;Donna Summer
1977;O Leãozinho;Caetano Veloso
1977;Maria Solidária;Beto Guedes
1977;Meu Sangue Ferve Por Você;Sidney Magal
1977;Espere Por Mim, Morena;Gonzaguinha
1977;Comportamento;Marcio Lott
1977;Golden Years;David Bowie
1977;Boi da Cara Branca;Helio Matheus
1977;Basta um Dia;Clara Nunes
1977;N.Y. You Got Me Dancing;Andrea True Collection
1977;You Took My Breath Away;Kaplan Kaye
