ano;musica;artista
1979;O Bêbado e a Equilibrista;Elis Regina 
1979;Pai;Fábio Jr.
1979;Too Much Heaven;Bee Gees
1979;Le Freak;Chic
1979;Super-Homem - A Canção;Gilberto Gil
1979;I Will Survive;Gloria Gaynor
1979;Y.M.C.A.;Village People
1979;Tragedy;Bee Gees
1979;Explode Coração (Não Dá Mais Pra Segurar);Maria Bethânia
1979;Começar de Novo;Simone
1979;Ring My Bell;Anita Ward
1979;Vou Festejar;Beth Carvalho
1979;Realce;Gilberto Gil
1979;Stumblin In;Suzi Quatro & Chris Norman
1979;Reunited;Peaches & Herb
1979;Revelação;Fagner
1979;Lua de São Jorge;Caetano Veloso
1979;Sultans Of Swing;Dire Straits
1979;Descaminhos;Joanna
1979;Bye Bye Brasil;Chico Buarque
1979;Bad Girls;Donna Summer
1979;Casinha Branca;Gilson
1979;Sharing The Night Together;Dr. Hook
1979;Amor, Meu Grande Amor;Angela Rô Rô
1979;Na Paz do Seu Sorriso;Roberto Carlos
1979;The Logical Song;Supretramp
1979;What A Fool Believes;Doobie Brothers
1979;Sonho Meu;Maria Bethânia & Gal Costa
1979;Meu Drama (Senhora Tentação);Roberto Ribeiro
1979;I Love The Nightlife (Disco Round);Alicia Bridges
1979;Tô Voltando;Simone
1979;Born To Be Alive;Patrick Hernandez
1979;Até Parece Que Foi Sonho;Tim Maia & Fábio 
1979;Medo de Avião;Belchior
1979;You Needed Me;Anne Murray
1979;Do You Think Im Sexy?;Rod Stewart
1979;Rua Ramalhete;Tavito
1979;We Are Family;Sister Sledge
1979;Rise;Herb Alpert
1979;She Believes In Me;Kenny Rogers
1979;Sob Medida;Fafá de Belém
1979;My Sharona;The Knack
1979;How You Gonna See Me Now;Alice Cooper
1979;Lead Me On;Maxine Nightingale
1979;Chiquitita;Abba
1979;I Just Wanna Stop;Gino Vannelli
1979;Mirrors;Sally Oldfield
1979;Toda Menina Baiana;Gilberto Gil
1979;Whos Lovin You;Dobie Gray
1979;Heart Of Glass;Blondie
1979;Fique Um Pouco Mais;Rosana
1979;Beleza Pura;A Cor do Som
1979;(Our Love) Dont Throw It All Away;Andy Gibb
1979;Chuva de Verão;Hermes Aquino
1979;Força Estranha;Gal Costa
1979;Acenda o Farol;Tim Maia
1979;Good Times;Chic
1979;Gostoso Veneno;Alcione
1979;I Can Still Remember;Samantha Sang
1979;I Want Your Love;Chic
1979;Shake Your Groove Thing;Peaches & Herb
1979;In The Navy;Village People
1979;Lotta Love;Nicolette Larson
1979;No More Tears (Enough Is Enough);Barbra Streisand & Donna Summer
1979;My Life;Billy Joel
1979;Still;Commodores
1979;Paloma;Sunday
1979;Morena de Angola;Clara Nunes
1979;Emoções;Wando
1979;Paris At 21;Peter Allen
1979;Id Rather Hurt Myself;Randy Brown
1979;Que Me Venha Esse Homem;Fafá de Belém
1979;Sob Medida;Simone
1979;Third Melody;Steven Schlaks
1979;Love Takes Time;Orleans
1979;I Just Fall In Love Again;Anne Murray
1979;Ill Never Love This Way Again;Dionne Warwick
1979;Cuba;Gibson Brothers
1979;Lets Fly Away;Voyage
1979;Grilo na Cuca;Dudu França
1979;Maria Fumaça;Kleiton & Kledir
1979;Hot Stuff;Donna Summer
1979;O Preto Que Satisfaz;Frenéticas
1979;Álibi;Maria Bethânia
1979;Brigas;Angela Maria & Agnaldo Timóteo
1979;I Got My Mind Made Up;Instant Funk
1979;Helena;Biafra
1979;Dont Cry Out Loud;Melissa Manchester
1979;Avohai;Zé Ramalho
1979;Quem Me Levará Sou Eu;Dominguinhos
1979;Pigeon Without A Dove;Patrick Dimon
1979;Sad Eyes;Robert John
1979;Ready To Take A Chance Again;Barry Manilow
1979;Everytime I Think Of You;Babys
1979;Mania de Você;Rita Lee
1979;Frete;Renato Teixeira
1979;Im A Dancer;Dennis Parker
1979;Belo Sentimento;Sonia Burnier
1979;Knock On Wood;Amii Stewart
1979;Love Dont Live Here Anymore;Rose Royce
