ano;musica;artista
1978;Night Fever;Bee Gees
1978;Outra Vez;Roberto Carlos
1978;Força Estranha;Roberto Carlos
1978;Sampa;Caetano Veloso
1978;How Deep Is Your Love;Bee Gees
1978;Dont Let Me Be Misunderstood;Santa Esmeralda
1978;Dancin Days;Frenéticas
1978;MacArthur Park;Donna Summer
1978;Não Existe Pecado ao Sul do Equador;Ney Matogrosso
1978;Cálice;Milton Nascimento & Chico BUarque
1978;Emotion;Samantha Sang
1978;Perigosa;Frenéticas
1978;Shadow Dancing;Andy Gibb
1978;Stayin Alive;Bee Gees
1978;Folhetim;Gal Costa
1978;We Are The Champions;Queen
1978;A Noite Vai Chegar;Lady Zu
1978;Café da Manhã;Roberto Carlos
1978;Baby Come Back;Player
1978;Grease;Frankie Valli
1978;Os Amantes;Luiz Ayrão
1978;Youre The One That I Want;John Travolta & Olivia Newton-John
1978;Just The Way You Are;Billy Joel
1978;Todo Menino é Um Rei;Roberto Ribeiro
1978;Youre In My Heart;Rod Stewart
1978;Get Off;Foxy
1978;Three Times A Lady;Commodores
1978;Float On;The Floaters
1978;Macho Man;Village People
1978;Bandeira do Divino;Ivan Lins
1978;Gosto de Maçã;Wando 
1978;Were All Alone;Rita Coolidge
1978;Dance A Little Bit Closer;Charo & Salsoul Orchestra
1978;The Closer I Get To You;Roberta Flack & Donny Hathaway
1978;Boogie Oogie Oogie;A Taste Of Honey
1978;Sandra Rosa Madalena "A Cigana";Sidney Magal
1978;Sufoco;Alcione
1978;Baker Street;Gerry Rafferty
1978;Hopelessly Devoted To You;Olivia Newton-John
1978;Wuthering Heights;Kate Bush
1978;Miss You;Rolling Stones
1978;Automatic Lover;D.D. Jackson
1978;Querelas do Brasil;Elis Regina
1978;Shame;Evelyn "Champagne" King
1978;No Woman No Cry;Bob Marley & The Wailers
1978;Terra;Caetano Veloso
1978;Flor Amorosa;Maria Martha
1978;I Loved You;Freddy Cole
1978;Quem Tem a Viola;Boca Livre
1978;Amanhã;Guilherme Arantes
1978;Black Coco;Painel de Controle
1978;João e Maria;Nara Leão & Chico Buarque
1978;De Fogo, Luz e Paixão;Marcelo & Gal Costa
1978;Easy To Love;Leo Sayer
1978;La Vie En Rose;Grace Jones
1978;Dreamin;Liverpool Express
1978;Fool (If You Think Its Over);Chris Rea
1978;From East To West;Voyage
1978;Im Sagittarius;Roberta Kelly
1978;Minha Esquina;Emílio Santiago
1978;Maria Maria;Milton Nascimento
1978;On And On;Stephen Bishop
1978;Panorama Ecológico;Erasmo Carlos
1978;Rivers Of Babylon;Boney M
1978;Youre Too Far Away;David Castle
1978;Self Pity;Lucifer
1978;Sossego;Tim Maia
1978;You And I;Rick James
1978;Scotch Machine;Voyage
1978;Apesar de Você;Chico Buarque
1978;Dancin Days Medley;Harmony Cats
1978;Everybody Dance;Chic
1978;Face a Face;Simone
1978;14 Anos;Guilherme Arantes
1978;Follow You Follow Me;Genesis
1978;Vou Festejar;Beth Carvalho
1978;I Will Still Love You;Stone Bolt
1978;Its A Heartache;Bonnie Tyler
1978;You;Rita Coolidge
1978;Count On Me;Jefferson Starship
1978;Cavalo Bravo;Renato Teixeira
1978;Foi Assim;Fafá de Belém
1978;Goodbye Girl;David Gates
1978;Pai;Fábio Jr
1978;Keep Doin It;Showdown
1978;Keep On Jumpin;Musique
1978;Kitchie Zona Sul;Ronaldo Resedá
1978;Love For Sale;Boney M
1978;Only The Strong Survive;Billy Paul
1978;Salve o Verde;Quarteto em Cy
1978;Sou Rebelde;Lilian
1978;Themes From The Wizard Of Oz;Meco
1978;The Loneliest Man On The Moon;David Castle
1978;Amante Amado;Jorge Bem
1978;You Make Me Feel (Mighty Real);Sylvester
1978;A Chave do Mundo;Marina
1978;Agora é Moda;Rita Lee
1978;Eu e Meu Gato;Rita Lee
1978;For Once In My Life;Freddy Cole
1978;Hey Baby;Harmony Cats
